source;target;weight
1;123;1
2;124;1
3;125;1
3;126;1
3;127;1
3;128;1
3;129;1
3;130;1
3;131;1
3;125;1
3;132;1
4;133;1
4;134;1
5;135;1
5;124;1
6;135;1
7;135;1
7;135;1
7;125;1
7;135;1
7;136;1
7;137;1
8;138;1
8;138;1
9;139;1
10;140;1
11;141;1
12;135;1
12;142;1
13;143;1
14;126;1
15;144;1
15;145;1
15;141;1
16;135;1
16;146;1
16;147;1
16;135;1
16;140;1
16;126;1
16;147;1
16;126;1
16;135;1
16;146;1
16;148;1
16;149;1
16;135;1
16;147;1
16;137;1
16;125;1
16;150;1
16;126;1
16;135;1
16;151;1
16;152;1
16;150;1
16;125;1
16;153;1
16;132;1
16;135;1
16;154;1
16;135;1
16;135;1
16;125;1
16;155;1
16;148;1
16;124;1
16;140;1
16;130;1
16;156;1
16;157;1
16;136;1
16;130;1
16;156;1
16;123;1
16;139;1
16;124;1
16;130;1
16;158;1
16;126;1
16;159;1
16;135;1
17;150;1
18;135;1
19;160;1
19;124;1
20;161;1
21;135;1
22;127;1
23;130;1
23;126;1
23;140;1
23;162;1
23;163;1
23;126;1
23;125;1
24;139;1
24;127;1
24;146;1
24;127;1
24;135;1
24;130;1
24;153;1
24;153;1
24;135;1
24;135;1
24;126;1
24;135;1
24;150;1
24;164;1
24;124;1
24;135;1
24;135;1
24;125;1
25;125;1
25;136;1
26;164;1
26;130;1
26;135;1
26;165;1
26;166;1
26;166;1
26;156;1
26;129;1
26;125;1
26;150;1
27;143;1
27;124;1
27;139;1
27;132;1
27;166;1
28;135;1
28;161;1
29;143;1
29;143;1
29;156;1
29;135;1
29;123;1
29;148;1
29;123;1
29;167;1
29;123;1
29;168;1
29;124;1
29;169;1
29;124;1
29;130;1
29;150;1
29;123;1
29;135;1
29;148;1
29;170;1
30;139;1
30;171;1
30;125;1
30;145;1
30;123;1
30;135;1
30;125;1
30;125;1
30;125;1
30;150;1
30;135;1
30;169;1
30;125;1
30;124;1
30;125;1
30;142;1
30;135;1
30;145;1
30;124;1
31;127;1
31;146;1
32;154;1
33;163;1
33;125;1
34;169;1
35;172;1
36;125;1
36;125;1
36;173;1
36;149;1
36;150;1
36;161;1
37;135;1
37;127;1
37;135;1
38;127;1
39;149;1
39;123;1
39;124;1
39;150;1
39;174;1
40;150;1
41;126;1
41;124;1
41;175;1
42;124;1
42;176;1
43;140;1
43;177;1
43;135;1
43;143;1
43;174;1
44;135;1
45;124;1
46;148;1
47;142;1
47;124;1
47;150;1
47;135;1
47;135;1
47;140;1
47;135;1
47;143;1
47;123;1
47;178;1
47;161;1
47;130;1
47;179;1
47;145;1
47;135;1
48;135;1
48;126;1
48;180;1
49;123;1
50;125;1
51;127;1
51;169;1
52;150;1
53;139;1
53;150;1
53;134;1
53;180;1
53;161;1
53;160;1
53;127;1
53;133;1
53;161;1
53;161;1
53;143;1
53;123;1
53;124;1
54;172;1
55;150;1
56;150;1
56;135;1
56;135;1
57;135;1
57;135;1
57;125;1
57;181;1
57;175;1
57;125;1
57;149;1
57;169;1
57;127;1
57;156;1
57;139;1
58;148;1
59;161;1
60;127;1
60;135;1
61;182;1
61;159;1
61;139;1
61;135;1
61;150;1
61;140;1
61;148;1
61;135;1
61;148;1
61;126;1
61;135;1
61;128;1
61;135;1
61;170;1
61;134;1
61;134;1
62;139;1
63;124;1
63;139;1
64;135;1
64;124;1
65;135;1
66;139;1
66;183;1
67;161;1
67;184;1
67;175;1
67;125;1
67;151;1
67;169;1
68;135;1
68;146;1
68;174;1
69;135;1
70;150;1
70;173;1
70;166;1
70;156;1
71;135;1
72;178;1
73;185;1
74;135;1
75;149;1
75;150;1
75;153;1
76;160;1
76;140;1
76;125;1
76;139;1
77;124;1
77;139;1
78;146;1
78;186;1
78;158;1
79;135;1
80;135;1
80;140;1
80;164;1
81;135;1
82;135;1
83;124;1
84;135;1
85;124;1
86;135;1
87;180;1
88;124;1
88;169;1
88;156;1
88;125;1
89;153;1
89;135;1
90;166;1
91;150;1
91;137;1
91;140;1
91;185;1
92;169;1
92;155;1
93;140;1
94;135;1
95;149;1
96;169;1
96;187;1
97;147;1
97;161;1
97;140;1
97;161;1
98;124;1
98;146;1
99;125;1
99;123;1
99;150;1
100;124;1
101;161;1
101;135;1
102;124;1
103;124;1
104;151;1
105;140;1
106;164;1
107;146;1
107;135;1
108;172;1
109;140;1
110;135;1
111;124;1
112;130;1
113;135;1
113;135;1
114;151;1
114;125;1
114;123;1
114;137;1
114;140;1
114;169;1
114;132;1
114;125;1
114;178;1
114;124;1
114;135;1
114;135;1
114;125;1
114;146;1
114;124;1
114;164;1
114;146;1
114;149;1
114;135;1
114;135;1
114;135;1
114;154;1
114;130;1
114;150;1
114;140;1
114;123;1
114;135;1
114;135;1
114;145;1
114;145;1
114;148;1
114;145;1
114;125;1
114;124;1
114;168;1
114;127;1
114;188;1
114;130;1
114;169;1
114;123;1
114;143;1
114;125;1
114;150;1
114;158;1
114;125;1
114;189;1
114;146;1
114;130;1
114;155;1
114;169;1
114;124;1
114;178;1
114;135;1
114;132;1
114;146;1
114;124;1
114;164;1
115;124;1
115;169;1
115;161;1
115;123;1
116;124;1
116;139;1
117;143;1
118;123;1
118;140;1
118;189;1
118;140;1
118;140;1
119;132;1
120;161;1
121;135;1
66;190;1
66;135;1
66;135;1
66;150;1
122;135;1
122;139;1
